Tweet,Departments
The seatbacks have crumbs stuck to them.,Coach - Cleanliness
The air freshener in the washroom is empty; it smells bad.,Coach - Cleanliness
The floors in the restroom are unclean and slippery.,Coach - Cleanliness
The food waste bin is full and attracts insects.,Coach - Cleanliness
The cleaning supplies should be stocked better for hygiene.,Coach - Cleanliness
The coach's cleaning schedule seems to be neglected.,Coach - Cleanliness
The sinks are dirty and have not been washed in a while.,Coach - Cleanliness
There are wrappers and trash all over the seating area.,Coach - Cleanliness
The restroom mirrors are dirty and not reflective.,Coach - Cleanliness
The cleaning crew should focus on the corners; they are dusty.,Coach - Cleanliness
The area around the trash cans is filthy and unappealing.,Coach - Cleanliness
The cleanliness of the train is below acceptable standards.,Coach - Cleanliness
"There’s no toilet paper in the restroom, which is unacceptable.",Coach - Cleanliness
The coach needs a thorough cleaning; it's too dirty.,Coach - Cleanliness
The soap in the restroom is not being refilled regularly.,Coach - Cleanliness
The seats are stained and need a deep clean.,Coach - Cleanliness
"The toilets are not being cleaned regularly, which is concerning.",Coach - Cleanliness
The cleaning staff should be more diligent about maintaining cleanliness.,Coach - Cleanliness
"The floors are dirty, and it’s embarrassing to use the restroom.",Coach - Cleanliness
The area around the toilets is often neglected.,Coach - Cleanliness
The cleaning crew is doing a poor job of maintaining hygiene.,Coach - Cleanliness
The restroom cleaning needs to be prioritized over other tasks.,Coach - Cleanliness
The seats have not been cleaned; there’s dust everywhere.,Coach - Cleanliness
"The restroom smells horrible, and it requires immediate attention.",Coach - Cleanliness
The trash cans are full and not being emptied regularly.,Coach - Cleanliness
There are too many stains on the walls that need to be addressed.,Coach - Cleanliness
"The washroom is dirty, and it's uncomfortable to use.",Coach - Cleanliness
The cleanliness of the food serving area is appalling.,Coach - Cleanliness
There are still food items left in the seats from previous passengers.,Coach - Cleanliness
The floors in the train are sticky from spilled drinks.,Coach - Cleanliness
I saw a rat in the washroom; it’s disgusting.,Coach - Cleanliness
"The restroom hasn't been cleaned in hours, and it shows.",Coach - Cleanliness
The coach smells like something has rotted.,Coach - Cleanliness
"The soap is empty in the washroom, which is unhygienic.",Coach - Cleanliness
The seats are torn and have stains on them.,Coach - Cleanliness
The cleaning crew is not doing their job effectively.,Coach - Cleanliness
There is an accumulation of dirt on the overhead luggage racks.,Coach - Cleanliness
The washbasin is dirty and has not been scrubbed.,Coach - Cleanliness
The trash bins are not being emptied regularly.,Coach - Cleanliness
"There are signs of mold in the restroom, which is unacceptable.",Coach - Cleanliness
The restroom has not been disinfected; it feels unsafe.,Coach - Cleanliness
The floors in the coach are littered with crumbs and trash.,Coach - Cleanliness
"The hand sanitizer dispenser is empty, which is concerning.",Coach - Cleanliness
The seat cushions have an unpleasant smell.,Coach - Cleanliness
The cleaning supplies seem to be insufficient for the needs of the coach.,Coach - Cleanliness
The walls are covered in grime; they need to be wiped down.,Coach - Cleanliness
There are spills on the tables that need to be cleaned immediately.,Coach - Cleanliness
The washroom mirrors are foggy and dirty.,Coach - Cleanliness
The toilets are dirty and have not been cleaned for a while.,Coach - Cleanliness
The waiting area is cluttered and needs to be tidied up.,Coach - Cleanliness
"The coach has a musty smell, indicating a lack of ventilation.",Coach - Cleanliness
The floors need a good scrubbing; they look neglected.,Coach - Cleanliness
There’s hair all over the seats; it’s quite off-putting.,Coach - Cleanliness
The cleaning schedule for the restroom is clearly inadequate.,Coach - Cleanliness
The surfaces in the washroom are sticky and unclean.,Coach - Cleanliness
The trash outside the train is piling up and attracting pests.,Coach - Cleanliness
The train interior is in a poor state of cleanliness.,Coach - Cleanliness
The washroom smells like urine; it needs urgent attention.,Coach - Cleanliness
The cleaning crew needs to check the ventilation systems; they’re dusty.,Coach - Cleanliness
The floor mats are dirty and not being replaced or cleaned.,Coach - Cleanliness
There are food wrappers everywhere in the seating area.,Coach - Cleanliness
The bathrooms need to be restocked with toilet paper immediately.,Coach - Cleanliness
"The train has a bad odor, possibly from food spills.",Coach - Cleanliness
The cleaning crew should focus more on the restroom facilities.,Coach - Cleanliness
There is dirt accumulating in the corners of the coach.,Coach - Cleanliness
The windows have fingerprints all over them; they need washing.,Coach - Cleanliness
The trash can is overflowing with garbage.,Coach - Cleanliness
The overall hygiene of the restroom is lacking.,Coach - Cleanliness
There are insects buzzing around the trash cans; it’s unhygienic.,Coach - Cleanliness
The sink area in the restroom is filthy and has not been cleaned.,Coach - Cleanliness
The seats are not properly maintained; they are stained.,Coach - Cleanliness
The entire coach needs a thorough cleaning; it's unsanitary.,Coach - Cleanliness
The washroom is often dirty; please send someone to clean it.,Coach - Cleanliness
There is a foul smell coming from the compartment.,Coach - Cleanliness
The rest area needs to be sanitized properly; it’s quite filthy.,Coach - Cleanliness
There are stains on the floor that look like they have been there for ages.,Coach - Cleanliness
The restroom needs urgent attention; it’s in a bad state.,Coach - Cleanliness
The cleaning staff is neglecting their duties; it’s unacceptable.,Coach - Cleanliness
The soap dispenser in the restroom is broken.,Coach - Cleanliness
The coach has a lot of dust accumulation; it needs to be cleaned.,Coach - Cleanliness
There are food stains on the seats that need immediate cleaning.,Coach - Cleanliness
The restroom needs to be checked more frequently for cleanliness.,Coach - Cleanliness
The area near the toilets is not being cleaned regularly.,Coach - Cleanliness
"The washroom is out of order, and it’s unpleasant to use.",Coach - Cleanliness
The air quality in the coach is poor due to lack of cleanliness.,Coach - Cleanliness
There are too many used paper towels scattered in the restroom.,Coach - Cleanliness
The trash bins should be covered to prevent odors.,Coach - Cleanliness
The walls in the restroom need a thorough scrubbing.,Coach - Cleanliness
The cleanliness of the train should be a priority for management.,Coach - Cleanliness
There is a lot of debris on the floor that hasn’t been cleaned.,Coach - Cleanliness
The washroom floors are slippery due to spills.,Coach - Cleanliness
The trash cans need to be lined with bags to avoid messes.,Coach - Cleanliness
There is a strong smell of bleach in the restroom; it’s overpowering.,Coach - Cleanliness
The hand dryers in the restroom are dirty and need to be maintained.,Coach - Cleanliness
The cleanliness of the train is not up to standard.,Coach - Cleanliness
There are old newspapers left lying around the seating area.,Coach - Cleanliness
The seatbelts in the coach are dirty and need cleaning.,Coach - Cleanliness
The restrooms should be cleaned more frequently.,Coach - Cleanliness
The waiting area is messy and needs cleaning.,Coach - Cleanliness
The coach smells of stale food; please address it.,Coach - Cleanliness
The floors have not been mopped; they are visibly dirty.,Coach - Cleanliness
The toilets are often out of service due to poor maintenance.,Coach - Cleanliness
The trash bins need to be emptied after every trip.,Coach - Cleanliness
There are too many stains on the upholstery; it needs to be addressed.,Coach - Cleanliness
The train feels grimy and unwelcoming.,Coach - Cleanliness
"The restroom has not been cleaned, and it’s affecting passengers.",Coach - Cleanliness
The cleanliness of the coach is a serious issue.,Coach - Cleanliness
The handrails are sticky and unpleasant to touch.,Coach - Cleanliness
The floors are covered in dirt and should be cleaned.,Coach - Cleanliness
There’s a buildup of trash near the entrance of the coach.,Coach - Cleanliness
The washroom is often left untidy; it needs consistent cleaning.,Coach - Cleanliness
"The restroom stalls have not been cleaned, and it’s unhygienic.",Coach - Cleanliness
The air vents are filled with dust and need maintenance.,Coach - Cleanliness
There is food waste on the floor; please clean it up.,Coach - Cleanliness
The coach feels dirty; it should be maintained better.,Coach - Cleanliness
The cleanliness of the washroom is extremely poor.,Coach - Cleanliness
"The compartments smell bad, making it uncomfortable for passengers.",Coach - Cleanliness
The trash outside the coach is piling up and looks awful.,Coach - Cleanliness
There are too many visible dirt marks on the seating.,Coach - Cleanliness
The cleanliness of the surfaces is lacking; they need to be sanitized.,Coach - Cleanliness
The restroom is in desperate need of cleaning.,Coach - Cleanliness
The seats are not being cleaned properly between journeys.,Coach - Cleanliness
The restroom cleaning supplies are low; they should be stocked up.,Coach - Cleanliness
There are stains on the bathroom floor that need immediate attention.,Coach - Cleanliness
The floors have not been vacuumed; there is visible debris.,Coach - Cleanliness
The restroom is unkempt; it feels unsafe to use.,Coach - Cleanliness
There is a persistent foul odor in the restroom area.,Coach - Cleanliness
The cleanliness of the waiting area is unacceptable.,Coach - Cleanliness
The floors are dirty and require immediate cleaning.,Coach - Cleanliness
The coach needs to be cleaned more thoroughly after each trip.,Coach - Cleanliness
The restroom's condition reflects poorly on the train service.,Coach - Cleanliness
The cleanliness of the food preparation area is very poor.,Coach - Cleanliness
There are visible cobwebs in the corners of the coach.,Coach - Cleanliness
The bathrooms need a thorough deep cleaning.,Coach - Cleanliness
"The trash is overflowing, and it smells awful.",Coach - Cleanliness
The cleaning crew should be more vigilant about hygiene.,Coach - Cleanliness
The train cars have a distinct smell that’s quite off-putting.,Coach - Cleanliness
I noticed trash accumulating under the seats.,Coach - Cleanliness
The restroom floors are sticky; they need urgent mopping.,Coach - Cleanliness
There is a lack of basic hygiene in the dining area.,Coach - Cleanliness
The trash bins are overflowing with old food wrappers.,Coach - Cleanliness
The seating area has crumbs and food residue everywhere.,Coach - Cleanliness
The bathroom needs a deep clean; it looks neglected.,Coach - Cleanliness
I found the cleanliness level of the pantry very disappointing.,Coach - Cleanliness
The walls are stained and haven’t been washed in ages.,Coach - Cleanliness
The floors should be swept more often; they look dirty.,Coach - Cleanliness
There is a persistent odor in the restroom that is very unpleasant.,Coach - Cleanliness
The tables have not been wiped down properly after use.,Coach - Cleanliness
The cleanliness of the luggage compartments is lacking.,Coach - Cleanliness
The window sills have not been dusted in a long time.,Coach - Cleanliness
There are signs of mold in the shower area; it’s concerning.,Coach - Cleanliness
The handrail needs to be cleaned; it’s covered in grime.,Coach - Cleanliness
The food preparation area is cluttered and unclean.,Coach - Cleanliness
The restroom lacks basic supplies like soap and towels.,Coach - Cleanliness
"There is visible hair on the seats, making it uncomfortable.",Coach - Cleanliness
The carpets are dirty and should be vacuumed regularly.,Coach - Cleanliness
"The waiting area is messy, with newspapers strewn about.",Coach - Cleanliness
The restroom is often left without adequate toilet paper.,Coach - Cleanliness
There are flies buzzing around the trash area; it’s unsanitary.,Coach - Cleanliness
The cleanliness of the locker area is insufficient.,Coach - Cleanliness
I found an empty drink can lodged between the seats.,Coach - Cleanliness
The washbasin in the restroom is dirty and needs scrubbing.,Coach - Cleanliness
There are too many food stains on the walls; they need cleaning.,Coach - Cleanliness
The floors in the pantry area are grimy and need to be cleaned.,Coach - Cleanliness
The staff needs to pay more attention to maintaining cleanliness.,Coach - Cleanliness
"The service area has a strong odor, indicating poor hygiene.",Coach - Cleanliness
The restroom mirrors are filthy and need cleaning.,Coach - Cleanliness
There are discarded tickets and litter on the train floor.,Coach - Cleanliness
The shower facilities are not regularly maintained for cleanliness.,Coach - Cleanliness
The common area is unkempt and needs attention.,Coach - Cleanliness
The air quality in the restroom is poor due to lack of ventilation.,Coach - Cleanliness
The restroom walls have graffiti that should be removed.,Coach - Cleanliness
There are many spills on the dining tables that have not been addressed.,Coach - Cleanliness
The staff should regularly inspect the cleanliness of the train.,Coach - Cleanliness
The food court area has not been cleaned adequately.,Coach - Cleanliness
The overall state of cleanliness in the train is disappointing.,Coach - Cleanliness
The cleaning crew needs better equipment for hygiene maintenance.,Coach - Cleanliness
The restroom smells musty and is unwelcoming.,Coach - Cleanliness
There are stains on the overhead racks; they need to be wiped.,Coach - Cleanliness
The lockers need to be sanitized; they feel grimy.,Coach - Cleanliness
The cleanliness of the staff area is below standard.,Coach - Cleanliness
The seating area has a lot of dust; it needs attention.,Coach - Cleanliness
The coach should be cleaned after every trip to maintain hygiene.,Coach - Cleanliness
There is mold growth in the corners of the restroom.,Coach - Cleanliness
The trash cans are not being emptied frequently enough.,Coach - Cleanliness
The cleanliness of the dining tables is not satisfactory.,Coach - Cleanliness
There are too many food wrappers left on the train floor.,Coach - Cleanliness
The restroom stalls are dirty and need urgent cleaning.,Coach - Cleanliness
The floors have not been scrubbed; they are visibly dirty.,Coach - Cleanliness
The bathroom mirrors need regular cleaning for visibility.,Coach - Cleanliness
The staff lounge should be kept cleaner for hygiene reasons.,Coach - Cleanliness
The food preparation area should be monitored for cleanliness.,Coach - Cleanliness
The restroom needs to be inspected for cleanliness more often.,Coach - Cleanliness
The trash is piling up near the entrance; it’s unsightly.,Coach - Cleanliness
The cleanliness of the pantry is seriously lacking.,Coach - Cleanliness
The restroom has a strong smell of bleach; it’s overwhelming.,Coach - Cleanliness
The cleaning crew should check the carpet for stains.,Coach - Cleanliness
The washroom lacks sanitary napkin disposal options.,Coach - Cleanliness
The cleanliness of the waiting area is unprofessional.,Coach - Cleanliness
The locker room has a foul smell and needs attention.,Coach - Cleanliness
There are visible grime marks on the handrails; they need cleaning.,Coach - Cleanliness
The food serving area has not been cleaned adequately.,Coach - Cleanliness
The restroom is unsanitary and needs immediate attention.,Coach - Cleanliness
The waiting area should be organized and clean for passengers.,Coach - Cleanliness
The air quality in the restroom is quite poor due to lack of maintenance.,Coach - Cleanliness
The cleanliness of the staff area is not acceptable.,Coach - Cleanliness
The floors in the restroom should be cleaned more frequently.,Coach - Cleanliness
The train’s common areas have not been cleaned properly.,Coach - Cleanliness
The restroom mirrors are dirty and not reflective.,Coach - Cleanliness
The cleaning crew should focus on the corners; they are dusty.,Coach - Cleanliness
The area around the trash cans is filthy and unappealing.,Coach - Cleanliness
The cleanliness of the train is below acceptable standards.,Coach - Cleanliness
"There’s no toilet paper in the restroom, which is unacceptable.",Coach - Cleanliness
The coach needs a thorough cleaning; it's too dirty.,Coach - Cleanliness
The soap in the restroom is not being refilled regularly.,Coach - Cleanliness
The seats are stained and need a deep clean.,Coach - Cleanliness
"The toilets are not being cleaned regularly, which is concerning.",Coach - Cleanliness
The cleaning staff should be more diligent about maintaining cleanliness.,Coach - Cleanliness
"The floors are dirty, and it’s embarrassing to use the restroom.",Coach - Cleanliness
The area around the toilets is often neglected.,Coach - Cleanliness
The cleaning crew is doing a poor job of maintaining hygiene.,Coach - Cleanliness
The restroom cleaning needs to be prioritized over other tasks.,Coach - Cleanliness
The seats have not been cleaned; there’s dust everywhere.,Coach - Cleanliness
"The restroom smells horrible, and it requires immediate attention.",Coach - Cleanliness
The trash cans are full and not being emptied regularly.,Coach - Cleanliness
There are too many stains on the walls that need to be addressed.,Coach - Cleanliness
"The washroom is dirty, and it's uncomfortable to use.",Coach - Cleanliness
The cleanliness of the food serving area is appalling.,Coach - Cleanliness
There are still food items left in the seats from previous passengers.,Coach - Cleanliness
The cleaning schedule is not being adhered to; it’s evident.,Coach - Cleanliness
The restroom needs a thorough scrubbing; it’s quite dirty.,Coach - Cleanliness
The seats in the coach are stained and unpleasant.,Coach - Cleanliness
"The trash is accumulating, and it needs to be taken out.",Coach - Cleanliness
The handrails are filthy and should be cleaned.,Coach - Cleanliness
The floors are slippery and dangerous due to spills.,Coach - Cleanliness
I feel unsafe due to the lack of visible security personnel on the train.,Security
There are no security cameras installed in the waiting area.,Security
I noticed suspicious behavior from some passengers that should be addressed.,Security
"The emergency exits are not clearly marked, which is concerning.",Security
"There is no one monitoring the luggage area, making it vulnerable.",Security
The security staff should conduct regular checks throughout the train.,Security
I observed a person loitering near the entrance without any reason.,Security
The ticket checking staff should be more vigilant about unauthorized passengers.,Security
There’s a lack of communication regarding safety protocols for passengers.,Security
"The train station's lighting is insufficient, making it unsafe at night.",Security
I felt uncomfortable when a stranger sat too close to me.,Security
The security personnel need better training to handle emergencies.,Security
There are no visible emergency alarms in the compartments.,Security
The staff should regularly inspect the train for any suspicious items left behind.,Security
I saw a passenger without a ticket attempting to enter the train.,Security
The security checks at the entrance are too lax.,Security
There should be a security presence at all major exits.,Security
The security personnel need to engage with passengers more actively.,Security
The lack of security in the bike storage area is alarming.,Security
I have concerns about the accessibility of emergency services in case of an incident.,Security
The security measures at the station need to be improved significantly.,Security
"I noticed that some emergency exits are blocked, which is a safety issue.",Security
